ID,Code_Region,Country,name,Type,description,Link
338,CHINA,Hong Kong,ECO-Walk Foundation,NGOs and Civil Society,Focuses on sustainable development and promotes eco-friendly technologies.,opcf.org.hk
339,CHINA,Hong Kong,Friends of the Earth (HK),NGOs and Civil Society,Promotes renewable energy and sustainable practices.,foe.org.hk
340,CHINA,Hong Kong,Clean Air Network,NGOs and Civil Society,Focuses on air pollution reduction and promotes clean and renewable energy sources.,charitablechoice.org.hk
341,CHINA,Hong Kong,Civic Exchange,NGOs and Civil Society,Independent think tank advocating for environmental and energy policies.,vohk.hk
342,CHINA,Hong Kong,Hong Kong Association of Energy Service Companies,Industry and Professional Associations,Represents energy service companies and promotes the development of energy efficiency projects.,cnsd.gov.hk
343,CHINA,Hong Kong,the Climate Group - Hong Kong,NGOs and Civil Society,International non-profit organization working towards a low-carbon future.,hkust.edu.hk
344,CHINA,Hong Kong,Renewable Energy Association of Hong Kong,Industry and Professional Associations,Promotes the development and use of renewable energy sources.,energysaving.gov.hk
345,CHINA,Hong Kong,Business Environment Council,NGOs and Civil Society,Focuses on promoting sustainability and eco-friendly practices in businesses.,bec.org.hk
346,CHINA,Hong Kong,the Hong Kong Polytechnic University - Institute for Environment and Sustainable Development,"Research, Education, and Development Institutions",Conducts research and promotes sustainable development practices.,polyu.edu.hk
347,CHINA,Hong Kong,Hong Kong University of Science and Technology - Environment and Sustainability Program,"Research, Education, and Development Institutions",Focuses on education and research related to environment and energy sustainability.,ppol.hkust.edu.hk
348,CHINA,Hong Kong,Hong Kong Productivity Council - Energy Efficiency Business Registration Scheme,Governmental Entities,Promotes energy efficiency in businesses and provides training and support.,itf.gov.hk
349,CHINA,Hong Kong,Asian Development Bank,International Entities,Provides funding and technical assistance for energy projects in Hong Kong.,hkma.gov.hk
350,CHINA,Hong Kong,World Bank,International Entities,Provides funding and technical assistance for energy projects in Hong Kong.,hkma.gov.hk
351,CHINA,Hong Kong,Sustainable Energy Unit,Governmental Entities,In charge of promoting and implementing sustainable energy policies and practices in Hong Kong.,clp.com.hk
352,CHINA,Hong Kong,Hong Kong Green Building Council,NGOs and Civil Society,Promotes sustainable building practices and certification.,hkgbc.org.hk
353,CHINA,Hong Kong,Hong Kong Construction Industry Council - Zero Carbon Building,Industry and Professional Associations,Promotes low carbon building design and operations.,zcp.cic.hk
354,CHINA,Hong Kong,- Hong Kong Electrical Contractors' Association,Industry and Professional Associations,Represents electrical contractors in Hong Kong.,gba.org.hk
355,CHINA,Hong Kong,Renewable Energy and Energy Efficiency Partnership,International Entities,Provides technical assistance and funding for renewable energy and energy efficiency projects in Hong Kong.,cnsd.gov.hk
356,CHINA,Hong Kong,Asian Development Bank Hong Kong Resident Mission,International Entities,Provides funding and support for energy projects in Hong Kong.,hketony.gov.hk
357,CHINA,Hong Kong,United Nations Development Programme - Climate Change and Energy Unit,International Entities,Provides technical assistance and support for sustainable energy projects in Hong Kong.,www1.hkexnews.hk
358,CHINA,Hong Kong,Hong Kong Association of Energy Service Companies,Industry and Professional Associations,Represents energy service companies and promotes the development of energy efficiency projects.,cnsd.gov.hk
359,CHINA,Hong Kong,Energy Saving for All Campaign,NGOs and Civil Society,Promotes energy efficiency and energy conservation in households and businesses.,energysaving.gov.hk
360,CHINA,Hong Kong,Hong Kong Renewable Energy Industry Association,Industry and Professional Associations,Promotes the development and use of renewable energy sources.,energysaving.gov.hk
361,CHINA,Hong Kong,the Association for Sustainable and Responsible Investment in Asia,Industry and Professional Associations,Promotes sustainable and responsible investment in the energy sector in Hong Kong.,hkma.gov.hk
362,CHINA,Hong Kong,Ma Tau Wai Road Ferry Pier Solar Power System Stakeholders,Sector-Specific Entities,Stakeholders involved in the installation and management of the solar power system at Ma Tau Wai Road Ferry Pier.,www1.hkexnews.hk
363,CHINA,Hong Kong,- Hong Kong Underwater World Ocean Park's Renewable Energy Stakeholders,Sector-Specific Entities,Stakeholders involved in the implementation and management of renewable energy sources at Hong Kong Underwater World Ocean Park.,www1.hkexnews.hk
364,COLOMBIA,Colombia,Ministry of Mines and Energy,Governmental Entities,Responsible for overall energy policy and regulation.,minenergia.gov.co
365,COLOMBIA,Colombia,National Mining Agency,Governmental Entities,Regulates and oversees mining activities in the energy sector.,anm.gov.co
366,COLOMBIA,Colombia,National Hydrocarbons Agency,Governmental Entities,Regulates and manages oil and gas exploration and production.,anh.gov.co
367,COLOMBIA,Colombia,National Planning Department,Governmental Entities,Develops national energy policies and plans.,colaboracion.dnp.gov.co
368,COLOMBIA,Colombia,Department of Energy,Governmental Entities,Monitors and regulates the use of energy resources for electricity generation.,minenergia.gov.co
369,COLOMBIA,Colombia,National Electric Energy Commission,Governmental Entities,"Oversees electricity generation, transmission, and distribution.",minenergia.gov.co
370,COLOMBIA,Colombia,National Transmission System Operator (NTSO),TSO,Responsible for managing and operating the national electricity transmission system.,
371,COLOMBIA,Colombia,National Distribution System Operator (NDSO),DSO,Manages and operates the national electricity distribution system.,s18391.pcdn.co
372,COLOMBIA,Colombia,National Institute of Electricity and Fuel (ISA),DSO,Manages and operates the national natural gas distribution system.,aerocivil.gov.co
373,COLOMBIA,Colombia,National Mining and Energy Planning Unit (UPME),Governmental Entities,Develops plans and programs for the efficient use of energy and natural resources.,upme.gov.co
374,COLOMBIA,Colombia,Rural Electrification Agency,Rural Electrification Agency,Promotes and supports rural electrification initiatives.,baes.co
375,COLOMBIA,Colombia,Municipalitiy of Medellín,Local/Regional/Municipal Government Entities,Responsible for energy planning and regulation in the city of Medellín.,cu.epm.com.co
376,COLOMBIA,Colombia,Superintendency of Public Services,Regulatory and Advisory Entities,"Regulates public services, including electricity, natural gas, and water.",enel.com.co
377,COLOMBIA,Colombia,Colombian Energy Association (CEA),Industry and Professional Associations,Represents the interests of the energy industry in Colombia.,prker.co
378,COLOMBIA,Colombia,Colombian Wind Energy Association (ASOCOL),Industry and Professional Associations,Promotes the development and use of wind energy in Colombia.,dian.gov.co
379,COLOMBIA,Colombia,Colombian Association of Renewable Energies (ACER),Industry and Professional Associations,Promotes the use of renewable energy sources in Colombia.,prker.co
380,COLOMBIA,Colombia,Colombian Association of Natural Gas (NATGAS),Industry and Professional Associations,Represents the natural gas industry in Colombia.,bityl.co
381,COLOMBIA,Colombia,Colombian National Federation of Municipalities,Local/Regional/Municipal Government Entities,Represents the interests of municipal governments in Colombia.,mineducacion.gov.co
382,COLOMBIA,Colombia,Center for Research and Development in Renewable Energies (CIDRE),"Research, Education, and Development Institutions",Conducts research and development in renewable energy technologies.,d36.co
383,COLOMBIA,Colombia,National College of Engineers (CNI),Industry and Professional Associations,Represents engineers in the energy sector.,d36.co
384,COLOMBIA,Colombia,National Association of Public and Private Universities (ASCUN),"Research, Education, and Development Institutions",Promotes energy education and research in universities.,redes.colombiaaprende.edu.co
385,COLOMBIA,Colombia,Colombian Association for Clean Cookstoves Promotion (APRECOC),NGOs and Civil Society,Promotes the use of clean cooking technologies in Colombia.,
386,COLOMBIA,Colombia,the Nature Conservancy Colombia,NGOs and Civil Society,Works to protect natural resources and promote sustainable energy practices.,humboldt.org.co
387,COLOMBIA,Colombia,International Finance Corporation (IFC),Financial and Funding Entities,Provides financing and advisory services for energy projects.,apccolombia.gov.co
388,COLOMBIA,Colombia,Inter-American Development Bank (IDB),Financial and Funding Entities,Supports energy sector development in Colombia.,minenergia.gov.co
389,COLOMBIA,Colombia,United Nations Development Programme (UNDP),International Entities,Supports sustainable energy development in Colombia.,api.includere.co
390,COLOMBIA,Colombia,Association for Sustainable Development in Colombia (ADESAC),NGOs and Civil Society,Works to promote sustainable development in Colombia.,web.icetex.gov.co
391,COLOMBIA,Colombia,Colombia Clean Energy Fund,Financial and Funding Entities,Provides financing for clean energy projects in Colombia.,minenergia.gov.co
392,COSTARICA,Costa Rica,Ministry of Environment and Energy (MINAE),Governmental Entities,Responsible for developing and implementing energy policies in Costa Rica.,minae.go.cr
393,COSTARICA,Costa Rica,Electricity Institute of Costa Rica (ICE),DSO,Provides electricity services to the entire country.,grupoice.go.cr
394,COSTARICA,Costa Rica,Costa Rica Electricity Authority (ARESEP),Regulatory and Advisory Entities,"Oversees and regulates the energy sector, including electricity tariffs.",cambioclimatico.go.cr
395,COSTARICA,Costa Rica,National Energy Plan Commission (CNE),Governmental Entities,Develops and implements policies related to energy efficiency and renewable energy.,mivah.go.cr
396,COSTARICA,Costa Rica,National Power and Light Company (CNFL),DSO,Provides electricity services in the Central Valley region of Costa Rica.,earth.ac.cr
397,COSTARICA,Costa Rica,National Institute of Renewable Energy (INERE),"Research, Education, and Development Institutions",Conducts research and provides education on renewable energy technologies.,grupoice.go.cr
398,COSTARICA,Costa Rica,National Association for Renewable Energy (ANER),Industry and Professional Associations,Represents and supports companies and individuals in the renewable energy sector.,revistas.una.ac.cr
399,COSTARICA,Costa Rica,National Chamber of Renewable Energy (CNER),Industry and Professional Associations,Promotes the development and use of renewable energy in Costa Rica.,cambioclimatico.go.cr
400,COSTARICA,Costa Rica,National Chamber of Grid Connected Renewable Energy (CNCCR),Industry and Professional Associations,Promotes the development and use of grid-connected renewable energy sources.,
401,COSTARICA,Costa Rica,Latin American Energy Organization (OLADE),International Entities,Facilitates international cooperation and information exchange in the energy sector among Latin American and Caribbean countries.,scielo.sa.cr
402,COSTARICA,Costa Rica,Rural Electrification Agency (AREA),Rural Electrification Agency,Promotes access to electricity in rural areas of Costa Rica.,cambioclimatico.go.cr
403,COSTARICA,Costa Rica,Municipal governments,Local/Regional/Municipal Government Entities,Responsible for providing and managing electricity services in their respective areas.,cambioclimatico.go.cr
404,COSTARICA,Costa Rica,Costa Rican Institute of Electricity (ICE),TSO,Responsible for the operation and maintenance of the national electricity grid.,grupoice.go.cr
405,COSTARICA,Costa Rica,Independent Power Producers (IPPs),IPP,Generate electricity from renewable energy sources and sell it to the national grid.,grupoice.go.cr
406,COSTARICA,Costa Rica,National Association of Independent Power Producers (ANEPP),Industry and Professional Associations,Represents and supports independent power producers in Costa Rica.,corteidh.or.cr
407,COSTARICA,Costa Rica,National Energy University (UNE),"Research, Education, and Development Institutions",Provides education and conducts research on energy-related topics.,cambioclimatico.go.cr
408,COSTARICA,Costa Rica,Federation for the Conservation of the Environment (FECON),NGOs and Civil Society,Works to promote sustainable and responsible energy practices in Costa Rica.,cambioclimatico.go.cr
409,COSTARICA,Costa Rica,Costa Rican Association of Renewable Energy and Environment (ACREA),Industry and Professional Associations,Represents and promotes renewable energy companies and professionals in Costa Rica.,cambioclimatico.go.cr
410,COSTARICA,Costa Rica,Costa Rican Chamber of Industries (CICR),Commercial Entities,Represents and supports commercial entities involved in the energy sector.,presidencia.go.cr
411,COSTARICA,Costa Rica,Central American Bank for Economic Integration (CABEI),Financial and Funding Entities,Provides financing for energy projects in Costa Rica and the Central American region.,dev.bcie.galileo.cr
412,COSTARICA,Costa Rica,United Nations Development Programme (UNDP),International Entities,Works with Costa Rica to promote sustainable and clean energy solutions.,ods.cr
413,COSTARICA,Costa Rica,Tropical Agricultural Research and Higher Education Center (CATIE),"Research, Education, and Development Institutions",Conducts research on renewable energy and supports its implementation in rural communities.,catie.ac.cr
414,COSTARICA,Costa Rica,Union of Private Sector Enterprises (UCCAEP),Commercial Entities,Represents and supports private sector companies in Costa Rica's energy sector.,amcham.cr
415,COSTARICA,Costa Rica,Institute of Rural Studies (IER),"Research, Education, and Development Institutions",Conducts research and provides education on rural electrification and energy access.,cambioclimatico.go.cr
416,CSAMC,Venezuela,1) Ministry of Energy and Petroleum,Governmental Entities,"responsible for policy, regulations, and planning in the energy sector",transparencia.org.ve
417,CSAMC,Venezuela,2) National Electricity Corporation (CORPOELEC),DSO,responsible for distribution of electricity,transparencia.org.ve
418,CSAMC,Venezuela,3) National Electric System Operator (SEN),TSO,responsible for transmission of electricity,transparencia.org.ve
419,CSAMC,Venezuela,4) Petróleos de Venezuela (PDVSA),IPP,state-owned oil and gas company,transparencia.org.ve
420,CSAMC,Venezuela,5) Fundación para el Desarrollo Eléctrico (FUNDELEC),Rural Electrification Agency,responsible for rural electrification projects,fundelec.gob.ve
421,CSAMC,Venezuela,6) Municipalities,Local/Regional/Municipal Government Entities,responsible for local energy regulations and policies,transparencia.org.ve
422,CSAMC,Venezuela,7) Superintendency of Electricity,Regulatory and Advisory Entities,responsible for regulating the electricity sector,transparencia.org.ve
423,CSAMC,Venezuela,8) Central University of Venezuela,"Research, Education, and Development Institutions",conducts research and education in the energy sector,caelum.ucv.ve
424,CSAMC,Venezuela,9) Acción Solidaria AC,NGOs and Civil Society,works on clean cooking initiatives for vulnerable communities,derechos.org.ve
425,CSAMC,Venezuela,10) Chamber of Oil and Gas Industry,Industry and Professional Associations,represents private sector companies in the energy industry,sovconsultores.com.ve
426,CSAMC,Venezuela,11) Banco de Venezuela,Commercial Entities,provides financing for energy projects,observatorio.gob.ve
427,CSAMC,Venezuela,12) United Nations Development Program (UNDP),International Entities,supports sustainable energy development in Venezuela,w2.ucab.edu.ve
428,CSAMC,Venezuela,13) Inter-American Development Bank (IDB),Financial and Funding Entities,provides loans for energy projects in Venezuela,v1.iesa.edu.ve
429,CSAMC,Venezuela,14) National Federation of Environmental Protection Associations (FENPA),Miscellaneous Entities and Groups,works towards promoting clean energy and environmental protection,adservice.google.co.ve
430,CSAMC,Venezuela,15) Venezuelan Association for Wind Energy (AVEE),Sector-Specific Entities,promotes and develops wind energy in Venezuela,transparencia.org.ve
431,CSAMC,Haiti,Ministry of Energy and Mines,Governmental Entities,"Responsible for energy policy, regulation and planning.",bme.gouv.ht
432,CSAMC,Haiti,Electricity of Haiti (EDH),DSO,State-owned electricity distribution company.,mtptc.gouv.ht
433,CSAMC,Haiti,National Energy Corporation (NEC),TSO,State-owned electricity transmission company.,agriculture.gouv.ht
434,CSAMC,Haiti,- Autorité Nationale de Régulation du Secteur de l'Energie (ANARSE),Regulatory and Advisory Entities,Government agency responsible for regulating and advising on the energy sector.,anarse.gouv.ht
435,CSAMC,Haiti,- Institut Haïtien de Statistique et d'Informatique (IHSI),"Research, Education, and Development Institutions",Government institution responsible for collecting and analyzing energy data.,ihsi.gouv.ht
436,CSAMC,Haiti,Fondation Energie de Haïti (FONHE),NGOs and Civil Society,Non-profit organization working towards promoting access to electricity in rural areas.,dgi.gouv.ht
437,CSAMC,Haiti,Association Nationale des Energies Renouvelables (ANER),Industry and Professional Associations,Association representing companies and professionals working in the renewable energy sector.,
438,CSAMC,Haiti,Sogener S.A.,Commercial Entities,"Private energy company involved in electricity generation, distribution and transmission.",pagespro.ht
439,CSAMC,Haiti,World Bank,International Entities,Financial institution providing funding and support to the energy sector in Haiti.,agroforesterie-bassinsversants.ht
440,CSAMC,Haiti,United States Agency for International Development (USAID),International Entities,Provides support for renewable energy and energy efficiency projects in Haiti.,crfpge.gouv.ht
441,CSAMC,Haiti,Inter-American Development Bank (IDB),Financial and Funding Entities,Multilateral development bank providing financing for energy projects in Haiti.,ute.gouv.ht
442,CSAMC,Haiti,Institute for Sustainable Energy (ISE),"Research, Education, and Development Institutions",Non-profit organization focusing on sustainable energy development in Haiti.,agroforesterie-bassinsversants.ht
443,CSAMC,Haiti,Association of Haitian Energy Professionals (AHEP),Industry and Professional Associations,Association representing energy professionals in Haiti.,
444,CSAMC,Haiti,Haitian Renewable Energy Industries Association (HREIA),Industry and Professional Associations,Association promoting the growth and development of the renewable energy industry in Haiti.,
445,CSAMC,Haiti,Ministry of Environment,Governmental Entities,Responsible for environmental policy and regulation related to energy.,agroforesterie-bassinsversants.ht
446,CSAMC,Haiti,local Government Municipalities,Local/Regional/Municipal Government Entities,Responsible for promoting and supporting energy initiatives at the local level.,mde.gouv.ht
447,CSAMC,Haiti,United Nations Development Programme (UNDP),International Entities,Provides support and funding for renewable energy and energy efficiency projects in Haiti.,mde.gouv.ht
448,CSAMC,Haiti,Groupe ECHO Haiti,NGOs and Civil Society,Non-profit organization working on energy access and sustainability in rural communities.,conatel.gouv.ht
449,CSAMC,Haiti,Energy Sector Roundtable (ESR),Sector-Specific Entities,Forum bringing together stakeholders to discuss and collaborate on energy issues in Haiti.,
450,CSAMC,Antigua and Barbuda,Government of Antigua and Barbuda,Governmental Entities,"Responsible for overall policy, regulation, and planning in the energy sector.",ab.gov.ag
451,CSAMC,Antigua and Barbuda,Antigua Public Utilities Authority,DSO,Regulates and operates the distribution system for electricity and water.,apua.ag
452,CSAMC,Antigua and Barbuda,Antigua Power Company,TSO,Responsible for the operation and maintenance of the electricity transmission system.,apua.ag
453,CSAMC,Antigua and Barbuda,Antigua and Barbuda Electricity Company,IPP,Supplies electricity to the majority of the country's population.,apua.ag
454,CSAMC,Antigua and Barbuda,Antigua and Barbuda Sustainable Energy Action Plan Committee,Regulatory and Advisory Entities,Formulates policy and recommendations for sustainable energy development in the country.,environment.gov.ag
455,CSAMC,Antigua and Barbuda,Antigua and Barbuda Renewable Energy Fund,Financial and Funding Entities,Provides financing for renewable energy projects.,laws.gov.ag
456,CSAMC,Antigua and Barbuda,Antigua and Barbuda Bureau of Standards,Regulatory and Advisory Entities,Develops and implements technical regulations and standards for the energy sector.,abbs.gov.ag
457,CSAMC,Antigua and Barbuda,Sir Arthur Lewis Community College,"Research, Education, and Development Institutions",Provides education and training in sustainable energy fields.,ab.gov.ag
458,CSAMC,Antigua and Barbuda,Caribbean Community Climate Change Centre,International Entities,"Assists member countries, including Antigua and Barbuda, in addressing climate change and its impacts.",ab.gov.ag
459,CSAMC,Antigua and Barbuda,Antigua and Barbuda Hotel and Tourism Association,Industry and Professional Associations,Represents and promotes the interests of the country's tourism and hospitality sector.,laws.gov.ag
460,CSAMC,Antigua and Barbuda,Antigua and Barbuda Renewable Energy Association,Industry and Professional Associations,Advocates for the development and advancement of renewable energy technologies.,ab.gov.ag
461,CSAMC,Antigua and Barbuda,Caribbean Electric Utility Services Corporation,Industry and Professional Associations,Provides training and technical assistance to electric utilities in the Caribbean region.,ab.gov.ag
462,CSAMC,Antigua and Barbuda,United Nations Development Programme Antigua and Barbuda,International Entities,Works with government and local partners to support sustainable development initiatives.,ab.gov.ag
463,CSAMC,Antigua and Barbuda,Antigua and Barbuda Association of Retailers and Service Providers,Industry and Professional Associations,Represents the interests of retail and service businesses in the country.,ab.gov.ag
464,CSAMC,Antigua and Barbuda,Antigua and Barbuda Chamber of Commerce,Industry and Professional Associations,Fosters business development and advocacy for the private sector.,socialsecurity.gov.ag
465,CSAMC,Antigua and Barbuda,Antigua and Barbuda Red Cross Society,NGOs and Civil Society,"Provides disaster relief and preparedness services, including in the energy sector.",ondcp.gov.ag
466,CSAMC,Antigua and Barbuda,Caribbean Association of Young Professionals,NGOs and Civil Society,Engages and empowers young professionals in sustainable development efforts.,abyma.ag
467,CSAMC,Antigua and Barbuda,Antigua and Barbuda Association of Persons with Disabilities,NGOs and Civil Society,"Advocates for the rights and inclusion of persons with disabilities in all sectors, including energy.",laws.gov.ag
468,CSAMC,Antigua and Barbuda,CARICOM Energy Program,International Entities,Coordinates and implements energy policies and programs within the Caribbean Community.,ab.gov.ag
469,CSAMC,Antigua and Barbuda,Antigua and Barbuda Development Bank,Financial and Funding Entities,"Provides financing and support for development projects, including in the energy sector.",laws.gov.ag
470,CSAMC,Antigua and Barbuda,Caribbean Renewable Energy Forum,International Entities,Hosts conferences and events to promote dialogue and collaboration on sustainable energy in the Caribbean region.,ab.gov.ag
471,CSAMC,Antigua and Barbuda,Antigua and Barbuda Waste Recycling Corporation,NGOs and Civil Society,Manages recycling programs and promotes waste reduction and management practices.,abyma.ag
472,CSAMC,Dominica,"Ministry of Energy, Trade and Industry",Governmental Entities,Responsible for formulating energy policies and regulating the energy sector in Dominica.,dominica.gov.dm
473,CSAMC,Dominica,Dominica Electricity Services Limited (DOMLEC),DSO,State-owned electricity distribution company.,domlec.dm
474,CSAMC,Dominica,Dominica Geothermal Development Company (DGDC),TSO,Government-owned company responsible for the development of geothermal energy in Dominica.,geodominica.dm
475,CSAMC,Dominica,Dominica Bureau of Standards (DBOS),Governmental Entities,Sets standards and regulations for energy efficiency and renewable energy technologies.,sbsu.dominica.gov.dm
476,CSAMC,Dominica,Dominica Electricity Regulatory Authority (DERA),Regulatory and Advisory Entities,Regulates the electricity sector and protects consumer interests.,adservice.google.dm
477,CSAMC,Dominica,National Development Foundation of Dominica (NDFD),Financial and Funding Entities,Provides financing and support for energy projects and initiatives in Dominica.,ndfd.dm
478,CSAMC,Dominica,Dominica Association of Industry and Commerce (DAIC),Industry and Professional Associations,Represents businesses and promotes sustainable energy practices in the private sector.,odm.gov.dm
479,CSAMC,Dominica,Dominica State College,"Research, Education, and Development Institutions",Conducts research and provides education and training on energy-related topics.,dsc.edu.dm
480,CSAMC,Dominica,Dominica Association of Non-Governmental Organizations (DANGO),NGOs and Civil Society,Advocates for sustainable energy and environmental policies.,divisionofculture.gov.dm
481,CSAMC,Dominica,Dominica Association of local governments (DALG),Local/Regional/Municipal Government Entities,Works with local authorities to implement energy projects in their communities.,adservice.google.dm
482,CSAMC,Dominica,International Renewable Energy Agency (IRENA),International Entities,Provides support and resources for renewable energy development in Dominica.,adservice.google.dm
483,CSAMC,Dominica,Caribbean Development Bank,International Entities,Provides funding and technical assistance for energy projects in Dominica.,odm.gov.dm
484,CSAMC,Dominica,Dominica Hotel and Tourism Association (DHTA),Industry and Professional Associations,Promotes sustainable energy practices in the tourism industry.,tourism.gov.dm
485,CSAMC,Dominica,Dominica Small Business Association (DSBA),Industry and Professional Associations,Represents small businesses and promotes sustainable energy practices.,
486,CSAMC,Dominica,Dominica Solar Association (DSA),Industry and Professional Associations,Promotes the use of solar energy and advocates for favorable policies and regulations.,adservice.google.dm
487,CSAMC,Dominica,Dominica Water and Sewerage Company (DOWASCO),DSO,"Public utility company responsible for providing water and sewage services, including energy provision and management.",dowasco.dm
488,CSAMC,Dominica,Dominica Chamber of Industry and Commerce (DCIC),Industry and Professional Associations,Represents businesses and promotes sustainable energy practices in the private sector.,doccentre.dlis.gov.dm
489,CSAMC,Dominica,Isabella Electric (IsaEl),IPP,Independent power producer that provides renewable energy to DOMLEC for distribution.,adservice.google.dm
490,CSAMC,Dominica,Dominica National Energy Corporation (DNEC),Governmental Entities,Implements and manages energy projects and initiatives on behalf of the government.,
491,CSAMC,Dominica,Dominica Rural Development Program (DRDP),Rural Electrification Agency,Implements electrification projects in rural areas.,
492,CSAMC,Dominica,Dominica Bureau of Statistics (DBOS),"Research, Education, and Development Institutions",Collects and provides data on energy consumption and production in Dominica.,odm.gov.dm
493,CSAMC,Dominica,Dominica Conservation Association (DCA),NGOs and Civil Society,Works to promote sustainable energy and protect the environment.,piu.agriculture.gov.dm
494,CSAMC,Dominica,- Dominica Manufacturers' Association (DMA),Industry and Professional Associations,Represents manufacturers and promotes sustainable energy practices.,sbsu.dominica.gov.dm
495,CSAMC,Dominica,Dominica Fire and Ambulance Service (DFAS),Local/Regional/Municipal Government Entities,Has a role in emergency response for energy-related incidents.,news.gov.dm
496,CSAMC,Bolivia,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for overall energy policy and regulation in Bolivia.,snia.mmaya.gob.bo
497,CSAMC,Bolivia,Agencia Nacional de Hidrocarburos (ANH),Regulatory and Advisory Entities,Responsible for regulating and monitoring the oil and gas sector in Bolivia.,anh.gob.bo
498,CSAMC,Bolivia,Empresa Nacional de Electricidad (ENDE),TSO,Main operator of the national power grid in Bolivia.,ende.bo
499,CSAMC,Bolivia,Administración del Servicio Nacional de Electricidad (ASEN),DSO,Responsible for distributing and selling electricity to customers in Bolivia.,ende.bo
500,CSAMC,Bolivia,Empresa de Correos de Bolivia (ECOBOL),DSO,Responsible for transmitting electricity to rural areas in Bolivia.,correos.gob.bo
501,CSAMC,Bolivia,Entidades Territoriales Autónomas (ETAs),Local/Regional/Municipal Government Entities,Responsible for implementing energy policies and regulations at the local level.,planificacion.gob.bo
502,CSAMC,Bolivia,Comisión Nacional de Energía (CNE),Regulatory and Advisory Entities,Responsible for advising the government on energy policies and regulations.,anh.gob.bo
503,CSAMC,Bolivia,- Universidad Mayor de San Andrés,"Research, Education, and Development Institutions",Conducts research and provides education on energy-related topics in Bolivia.,umsa.bo
504,CSAMC,Bolivia,- Centro de Promoción Ener através de Hidrocarburos y sus Derivados (CEDIN),NGOs and Civil Society,Advocates for sustainable energy policies in Bolivia.,acreditacion.industrial.umsa.bo
505,CSAMC,Bolivia,Asociación Boliviana de Hidrocarburos y Energía (ABH),Industry and Professional Associations,Represents the interests of companies in the hydrocarbon and energy sector in Bolivia.,anh.gob.bo
506,CSAMC,Bolivia,ENTEL Bolivia,Commercial Entities,"Provides telecommunications and internet services, including energy-related services.",entel.bo
507,CSAMC,Bolivia,Banco Central de Bolivia,Financial and Funding Entities,Provides funding for energy projects and investments in Bolivia.,bcb.gob.bo
508,CSAMC,Bolivia,Fondo de Desarrollo Indígena (FDI),Miscellaneous Entities and Groups,Supports energy projects and development in indigenous communities in Bolivia.,fdi.gob.bo
509,CSAMC,Bolivia,Yacimiento Petrolíferos Fiscales Bolivianos (YPFB),Sector-Specific Entities,State-owned company responsible for managing Bolivia's hydrocarbon resources.,ypfb.gob.bo
510,CSAMC,Bolivia,U.S. Agency for International Development (USAID),International Entities,Provides support for energy development and renewable energy projects in Bolivia.,inesad.edu.bo
511,CSAMC,Panama,Ministry of Energy,Governmental Entities (Central/Federal),Responsible for developing and implementing energy policies and regulations.,energia.gob.pa
512,CSAMC,Panama,National Energy Secretariat (SNE),Governmental Entities (Central/Federal),"Oversees and coordinates all energy planning, policy, and regulation in Panama.",energia.gob.pa
513,CSAMC,Panama,Public Services Regulatory Authority (ASEP),Regulatory and Advisory Entities,"Regulates and supervises the electricity sector, including prices and quality of service.",gala.com.pa
514,CSAMC,Panama,National Authority for Public Services (ASEP),Regulatory and Advisory Entities,Regulates and supervises the oil and gas sector.,fpublico.mef.gob.pa
515,CSAMC,Panama,National Authority for the Environment (ANAM),Governmental Entities (Central/Federal),"Responsible for environmental policy and regulation, including energy projects.",fmm.com.pa
516,CSAMC,Panama,National Secretariat for Energy,Governmental Entities (Central/Federal),Implements policies and strategies for sustainable and renewable energy development.,energia.gob.pa
517,CSAMC,Panama,Ministry of Environment,Governmental Entities (Central/Federal),Develops policies and regulations for environmental management and sustainable development.,miambiente.gob.pa
518,CSAMC,Panama,National Energy Council,Governmental Entities (Central/Federal),Coordinates and advises the government on energy planning and sustainable development.,siepanama.energia.gob.pa
519,CSAMC,Panama,Panamanian Chamber of Energy (CAPE),Industry and Professional Associations,Represents the energy sector and promotes its development.,propanama.gob.pa
520,CSAMC,Panama,National Renewable Energy Centre (CENER),"Research, Education, and Development Institutions",Conducts research and development of renewable energy technologies and promotes their use.,
521,CSAMC,Panama,National Institute of Electricity and Renewable Energy (INESER),"Research, Education, and Development Institutions","Conducts research, training, and development in the energy sector.",rbc.com.pa
522,CSAMC,Panama,Environmental Advocacy Center (CIAM),NGOs and Civil Society,Advocates for environmental protection and sustainable development.,umip.ac.pa
523,CSAMC,Panama,Environmental Defense Fund (EDF),NGOs and Civil Society,"Works to find sustainable solutions to environmental issues, including energy.",prefasia.miambiente.gob.pa
524,CSAMC,Panama,Association of Engineers and Architects of Panama,Industry and Professional Associations,Represents engineers and architects working in the energy sector.,fsu.edu.pa
525,CSAMC,Panama,Electric Transmission Company (ETESA),TSO,Responsible for operating and maintaining the national transmission grid.,etesa.com.pa
526,CSAMC,Panama,Distribution Companies,DSO,Responsible for distributing and selling electricity to end users.,ensa.com.pa
527,CSAMC,Panama,Independent Power Producers (IPPs),IPP,Generates electricity and sells it to the national grid or directly to consumers.,revistas.utp.ac.pa
528,CSAMC,Panama,National Secretariat for the Fight Against Poverty (SENAP),Governmental Entities (Central/Federal),Implements programs to improve access to electricity for low-income communities.,
