keyword,English,Arab,Bulgarian,Mandarin,Croatian,Czech,Danish,Dutch,Estonian,Finnish,Flemish,French,German,Greek,Hindi,Hungarian,Indonesia,Irish,Italian,Japanese,Korean,Latvian,Lithuanian,Luxembourgish,Maltese,Polish,Portuguese,Romanian,Slovak,Slovenian,Spanish,Swedish,Turkish
oil,oil, النفط,петрол ,石油,ulje,olej,olie,olie,õli,öljy,olie,Huile,Öl,Πετρέλαιο,तेल ,Olaj,Minyak,ola,Olio,オイル,기름,Nafta,Nafta,Öl,żobb,Olej,Óleo,Petrol,Ropa,Nafta,Aceite,Olja,Yağ
pump,pump, مضخة,помпа,泵,pumpa,čerpadlo,pumpe,pomp,pump,pumppu,pomp,pompe,Pumpe,αντλία,पंप ,szivattyú,pompa,bompáil,pompa,ポンプ,펌프,sūknis,siurblys,Pumpe,pomp,pompa,bomba,pompă,čerpadlo,črpalka,bomba,pump,pompa
gasoline,gasoline, البنزين,бензин,汽油,benzin,benzín,benzin,benzine,bensiin,bensiini,benzine,essence,Benzin,βενζίνη,गैसोलीन ,benzin,bensin,gaseolaí,benzina,ガソリン,휘발유,benzīns,benzinas,Benzin,benzina,benzyna,gasolina,benzină,benzín,bencin,gasolina,bensin,benzin
petroleum,petroleum, البترول,петрол,石油,nafta,nafta,petroleum,petroleum,nafta,petroli,petroleum,pétrole,Petroleum,πετρέλαιο,पेट्रोलियम ,kőolaj,minyak bumi,peitriliam,petrolio,ペトロフード,석유,nafta,nafta,Petroleum,petroli,ropa naftowa,petróleo,petrol,ropa,nafta,petróleo,petroleum,PETROL
heating,heating, التدفئة,Отопление,暖气,grijanje,topení,opvarmning,verwarming,küte,lämmitys,verwarming,Chauffage,Heizung,Θέρμανση,हीटिंग ,Fűtés,Pemanasan,teasaíocht,Riscaldamento,加熱,난방,Apkure,Šildymas,Heizung,riscaldament,Ogrzewanie,Aquecimento,Încălzire,Vykurovanie,Ogrevanje,Calefacción,Uppvärmning,Isıtma
electricity,electricity, الكهرباء,Електричество,电力,električna energija,elektřina,elektricitet,elektriciteit,elekter,sähkö,elektriciteit,Électricité,Elektrizität,Ηλεκτρισμός,बिजली ,Villany,Listrik,leictreachas,Elettricità,電気,전기,Elektrība,Elektra,Elektrizität,elettriku,Elektryczność,Electricidade,Electricitate,Elektrina,Elektrika,Electricidad,Elektricitet,Elektrik
power,power, الطاقة,Мощност,电力,snaga,výkon,effekt,vermogen,võimsus,teho,vermogen,Puissance,Strom,Ισχύς,शक्ति ,Teljesítmény,Daya,cumhacht,Energia elettrica,パワー,전력,Enerģija,Energija,Leistung,poter,Moc,Poder,Energie electrică,Energia,Električna energija,Energía,Kraft,Güç
pellet,pellet, حبيبات الوقود,Пелет,颗粒物,Pelet,Pellet,Pille,Pellet,Pellet,Pellet,Pellet,Pellet,Pellet,Σφαίρες,पैलेट,Pellet,Pellet,Cruithne,Pellet,ペレット,펠릿,Granulas,Granulės,Pellet,Pellet,Pellet,Pellet,Pelet,Pellet,Pellet,Pellet,Pellet,Pelet
coal,coal, الفحم,Въглища,煤炭,Ugalj,Uhlí,Kul,Steenkool,Kivisüsi,Hiili,Steenkool,Charbon,Kohle,Άνθρακας,कोयला,Szén,Batubara,gual,Carbone,石炭,석탄,Ogles,Anglis,Coal,Ċeleċ,Węgiel,Carvão,Huilă,Uhlie,Premog,Carbón,Kol,Kömür
critical minerals,critical minerals, المعادن الحرجة,Критични минерали,关键矿物,Kritične rude,Kritické minerály,Kritiske mineraler,Kritieke mineralen,Kriitilised mineraalid,Kriittiset mineraalit,Kritieke mineralen,Minéraux critiques,Kritische mineralien,Κρίσιμα ορυκτά,महत्वपूर्ण खनिज,Kritikus ásványok,Mineral Kritis,Mianraí Critici,Minerali critici,重要鉱物,중요 광물,Svarīgie minerāli,Kritiniai mineralai,Kritesch Mineralien,Mineraġġi kritiċi,Krytyczne minerały,Minerais críticos,Minerale critice,Kritické minerály,Kritični minerali,Minerales críticos,Kritiska mineraler,Kritik mineraller
critical materials,critical materials, المواد الحرجة,Критични материали,关键材料,Kritični materijali,Kritické materiály,Kritiske materialer,Kritieke materialen,Kriitilised materjalid,Kriittiset materiaalit,Kritieke materialen,Matériaux critiques,Kritische Materialien,Κρίσιμα υλικά,गंभीर पदार्थ,Kritikus anyagok,Bahan kritis,Ábhar criticiúil,Materiali critici,クリティカルマテリアル,중요 자료,Kritiski materiāli,Kritiniai medžiagos,Kritesches Material,Materjali kritiċi,Krytyczne materiały,Materiais críticos,Materiale critice,Kritické materiály,Kritični materiali,Materiales críticos,Kritiska material,Kritik malzemeler
pump,pump,مضخة,помпа,泵,pumpa,čerpadlo,pumpe,pomp,pump,pumppu,pomp,pompe,Pumpe,αντλία,पंप,szivattyú,pompa,caidéal,pompa,ポンプ,펌프,sūknis,siurblys,Pumpe,pompa,pompa,bomba,pompă,čerpadlo,črpalka,bomba,pump,pompa
cylinder,cylinder,أسطوانة,цилиндър,圆筒,cilindar,válec,cylinder,cilinder,silinder,sylinteri,cilinder,bonbonne,Zylinder,κύλινδρος,सिलिंडर,henger,silinder,sorcóir,cilindro,シリンダー,실린더,cilindrs,cilindras,Zylinder,cilindru,cylinder,cilindro,cilindru,valec,cilinder,cilindro,cylinder,silindir
